title,body,tags,user_id,username,discussing_issue
Python - Lists checking if something has been randomised already,"<p>Okay, so I am creating a program in python and basically it is a troubleshooting program for mobile phone users, it's very basic as of now, and I am in the situation where I am creating a list for the questions to be asked. </p>

<p>I will use the random module to randomise a string from the troubleshooting questions list, but I don't want it to randomise the first question in the list, then the first question in the list again.</p>

<p>So the real question; how do I check if the randomised string has already been randomised and if it has I want my program to randomise another string from the list, and if it has already been said then randomise another, if not use that string, etcetera.</p>

<p>Note: This program is no where near complete, I literally just started this now, so I am calling the function at the end so I can run the program at different times to see if it works.</p>

<pre><code>import random

Questions = [
            'Has your phone gotten wet?', 'Have you damaged your screen?', 'Is the phone at full battery?',
            'Has your phone been dropped?', ' Does the mobile phone turn itself off?', 'Does the device keep crashing',
            'Does the phone keep freezing?', 'Can you not access the internet on your phone?', 'Is the battery draining quickly?',
            'Can you not access certain files on your phone?'
            ]
Solutions = [
            'Put your mobile phone inside of a fridge, it sounds stupid but it should work!', 'Try turning your device on and off',
            'Visit your local mobile phone store and seek help'
        ]
def PhoneTroubleshooting():
    print('Hello, welcome to the troubleshooting help section for your mobile phone.\n'
            'This troubleshooting program is going to ask you a series of questions, to determine the issue with your device.')
    answer = print(random.choice(Questions))
    if answer == 'yes':
            print('Okay, I have a solution', random.choice(Solutions))

    else: print('Okay, next problem')

PhoneTroubleshooting()
</code></pre>",python|list,5582341,Thom9son,yes
enabling foreground mode on NFC could cause draining the battery?,"<p>Quoting Carl Sagan:</p>

<blockquote>
  <p>There are naive questions, tedious questions, ill-phrased questions, questions put after inadequate self-criticism. But every question is a cry to understand the world. There is no such thing as a dumb question.</p>
</blockquote>

<p>because I think this is a really stupid question, but I just want to solve my doubt.</p>

<p>I'm working in an app with NFC and I'd like to enable the foreground mode forever to be able to handle a new intent even when the app gets killed.</p>

<p>So, let's imagine that the NFC is always ON. Will my feature drain the battery, or consume it faster that if I disable eventually the foreground mode?</p>

<p>Thank you in advance.</p>

<p>Regards.</p>

<p>Rafael.</p>",android|nfc,1348187,Rafael Ruiz Muñoz,no
Android CPU awake and Battery Depletion due to Background Service,"<p>I am working on an Sensors App that needs to measure <em>acceleration</em> and <em>position</em> every second. These measurements take place in a background <strong>Service</strong>.<br>
For the acceleration I use the <strong>Accelerometer Sensor</strong> and for the location the <strong>FusedLocationApi</strong> of Google Play Services.</p>

<p>But as shown in the screenshots below, <strong>the CPU is always awake (why?)</strong> and the battery is depleted very quickly when the app is running. I closed the app and the Service kept running (which is what I want) during the night, and when I woke up, my battery was completely drained. Given that the wifi was turned off, the battery depletion couldn't be caused by the http connection.  </p>

<p>So, is the accelerometer the cause?<br>
<strong>What can be done to reduce power consumption in such a case?</strong></p>

<p>Screenshots:<br>
<a href=""http://i.imgur.com/mmakRMD.png"" rel=""nofollow"">Battery History details</a><br>
<a href=""http://i.imgur.com/zY3jYbA.png"" rel=""nofollow"">Battery</a></p>

<pre class=""lang-java prettyprint-override""><code>public class MyService extends Service implements 
    SensorEventListener, ConnectionCallbacks, OnConnectionFailedListener {
    ...
    ...
    ...

    @Override
    public void onCreate() {
        super.onCreate();
        SensorManager mSensorManager = (SensorManager) getSystemService(SENSOR_SERVICE);

        if ((accelerometer = mSensorManager.getDefaultSensor(Sensor.TYPE_ACCELEROMETER)) != null) {
            mSensorManager.registerListener(this, accelerometer, SensorManager.SENSOR_DELAY_NORMAL);
        }

        mGoogleApiClient = new GoogleApiClient.Builder(getApplicationContext())
            .addConnectionCallbacks(this)
            .addOnConnectionFailedListener(this)
            .addApi(LocationServices.API)
            .addApi(ActivityRecognition.API)
            .build();
        mGoogleApiClient.connect();
    }

    @Override
    public void onSensorChanged(SensorEvent event) {
        Sensor sensor = event.sensor;

        if ((sensor.getType() == Sensor.TYPE_ACCELEROMETER) &amp;&amp; accelerometer != null) {
            double accelX = event.values[0];
            double accelY = event.values[1];
            double accelZ = event.values[2];
        }

    }

}
</code></pre>

<p>The UI is updated periodically every second. I use a <strong>Handler</strong> that runs a <strong>Runnable</strong>:  </p>

<pre class=""lang-java prettyprint-override""><code>private Runnable serviceRunnable = new Runnable() {
        @Override
        public void run() {
            if (activity != null) {
                activity.updateSensorDataToClient(mSensorData);
            }

            mHandler.postDelayed(serviceRunnable, 1000);
        }
}
</code></pre>

<p>Another <strong>Runnable</strong> sends data every 10 seconds to an external Database. For this communication I use the <strong>Volley</strong> library.</p>

<pre class=""lang-java prettyprint-override""><code>private Runnable networkRunnable = new Runnable() {
    @Override
    public void run() {
        networkConnection.sendDataToServer(processedData);

        mHandler.postDelayed(networkRunnable, 10*1000);
    }
}
</code></pre>

<p>The <code>networkConnection</code> is a <code>Class</code> and has a method <code>sendDataToServer</code> that stores the current sensor data in local a SQLite Database. If there is a connection, the local data are sent to the external DB.  </p>",android|service|android-volley|android-sensors|battery,4259011,Theodore Samuel,yes
Stop endless buffering of html5 video in cordova webview on Samsung devices,"<p>I am building a cross-platform mobile app using Cordova (PhoneGap 3.0.0-0.14.4), with Android as one of the target platforms.
A (major, but not only) part of the functionality of the app is playing video.
I have chosen the html5 <code>&lt;video&gt;</code> tag as the preferred method of implementing the video player.
The videos are hosted on Vimeo.
The app is implemented as a single html document, where navigation is achieved by altering the content using javascript.</p>

<p>The video tag I used looks like:</p>

<pre><code>&lt;video autoplay controls id=""videotag""&gt;
    &lt;source id=""videosrc"" src=""http://player.vimeo.com/external/...""/&gt;
    Din apparat stöder inte denna video.
&lt;/video&gt;
</code></pre>

<p>Getting the video to be playable worked out of the box just by adding the video tag to the html.
On a HTC One mini (Android 4.3) this solution worked without problems.
On a Samsung Galaxy S4 mini (Android 4.2.2) the video also plays, but another problem occurs:
The video is being buffered by a MediaPlayer component, and this buffering never stops.
The log is filled by the following messages, repeated indefinitely:</p>

<pre><code>01-25 13:45:36.698: V/MediaPlayer(2814): message received msg=3, ext1=34, ext2=0
01-25 13:45:36.698: V/MediaPlayer(2814): buffering 34 
01-25 13:45:36.698: V/MediaPlayer(2814): callback application
01-25 13:45:36.698: V/MediaPlayer(2814): back from callback
</code></pre>

<p>This buffering continues even after playback is stopped, the video tag is removed and the user exits (suspends) the app.
Suspending the app does not stop the buffering, but killing the app does.
The buffering does not even stop when it reaches 100%, but instead keeps on apparently indefinitely.
No sound is playing in the background, but the Internet connection is kept open, the battery drains and the device <strong>heats up</strong>.
This is a showstopper bug for us, as we are not willing to publish an app that causes overheating.</p>

<p>Symptoms similar to the detected problem were also reported by a beta tester on a Samsung Galaxy S3.
The problem might be limited to Samsung only, as it does not occur on a HTC device.</p>

<p>It appears that the MediaPlayer component does not receive a message to stop buffering even though the video is no longer needed.</p>

<p>I have tried the following, without success:</p>

<ul>
<li>I have removed the video tag entirely from the DOM when done watching.</li>
<li>I have used javascript to stop the playback by calling  pause()  on
the video element before removal.</li>
<li>Following  <a href=""https://stackoverflow.com/questions/4071872/html5-video-force-abort-of-buffering"">HTML5 Video: Force abort of buffering</a>
I have tried using javscript to clear the src urls inside the video tag, followed by calling  load()  on the video tag.</li>
<li>Based on a comment on the above question, I have tried placing the video tag inside an iframe, which is removed from the DOM when done
watching.</li>
<li>I have tried combining all of the above.</li>
<li>I have tried having the video tag on a separate page, which is navigated away from. This is a departure from the single-page-with-js
model used otherwise.</li>
<li>I have tried using the Vimeo player through oEmbed, instead of using a html5 video tag directly.</li>
</ul>

<p>That exhausts the platform-indepent tricks that I have been able to find.
There are some approaches based on native Android code</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/20361254/stop-android-mediaplayer-automatically-launched-by-webpage-within-webview"">Stop Android MediaPlayer automatically launched by webpage within WebView</a>  gives a potential solution, but       according to a comment by the question author, the accepted solution only stops audio from playing but does not kill the MediaPlayer.</li>
<li><a href=""https://stackoverflow.com/questions/12418014/android-webview-playing-html5-h-264-mp4-video-how-to-get-at-the-mediaplayer"">Android WebView Playing HTML5/h.264/mp4 Video, How to get at the MediaPlayer</a>  seems to be a similar problem, but  with a custom webview instead of cordova. I don't know how to attempt to apply this to cordova.</li>
</ul>

<p>I am looking for any solution to the problem that allows video to be played without causing overheating.
This ought to be a problem that other people have needed to solve, so hopefully there is a cordova plugin that already solves the problem.
Is there such a plugin?
If there is not, is either of the two Android-native approaches mentioned above implementable in cordova, and would they solve the problem?</p>

<p>A potential workaround would be to kill the app whenever it is suspended.
This is ugly and not according to Android guidelines.
What is the least ugly way of achieving this?</p>",android|cordova|android-webview|html5-video|cordova-3,3289788,Waino,yes
low level bluetooth broadcast,"<p>Since bluetooth is a broadcast protocol, is there some way to listen for broadcasts while not discoverable? The idea is to avoid making a device discoverable, and simply listen for broadcasts, check the devices for a particular device name, and then connecting to that device's mac address (followed by handshaking, verification, etc).</p>

<p>Specifically, I have a bluetooth device that uses the AT command set (<a href=""http://www.cooking-hacks.com/skin/frontend/default/cooking/pdf/Bluetooth_SPP_AT_SW_description.pdf"" rel=""nofollow"">user manual here</a>), and I want my Android device to autoconnect to it when it gets into range. However, I want a solution that doesn't require my Android to be discoverable all the time, because I expect the Android to not be in range most of the time.</p>

<p>Is there a low-level bluetooth command that I can send from my first device, and listen for using the Android SDK that doesn't require pairing, connecting, or discoverability? Something like and ACL request, perhaps?</p>

<p>(Additionally, my reasons for not making my device discoverable are mainly power, and also slightly user privacy reasons. How significant is the battery drain of device discoverability? Next to nothing? Significant?)</p>",android|bluetooth|low-level|at-command,582004,liucheia,no
capacitor-community / background-geolocation return D/Capacitor: Location not available,"<p>I am trying to use  capacitor-community / background-geolocation. i think the background runs like it supposed to be. but it didnt return me the locatio. it returns D/Capacitor: Location not available.</p>
<p>i dont know what happen, i think i just set up the requirement for this plugin. but it just wont give me the location...</p>
<p>here is my AndroidManifest.xml</p>
<pre><code>&lt;?xml version='1.0' encoding='utf-8'?&gt;
&lt;manifest package=&quot;ai.squad.kominfo.sbh&quot; xmlns:android=&quot;http://schemas.android.com/apk/res/android&quot;&gt;
    &lt;application android:allowBackup=&quot;true&quot; android:icon=&quot;@mipmap/ic_launcher&quot; android:label=&quot;@string/app_name&quot; android:roundIcon=&quot;@mipmap/ic_launcher_round&quot; android:supportsRtl=&quot;true&quot; android:theme=&quot;@style/AppTheme&quot; android:usesCleartextTraffic=&quot;true&quot;&gt;
        &lt;activity android:configChanges=&quot;orientation|keyboardHidden|keyboard|screenSize|locale|smallestScreenSize|screenLayout|uiMode&quot; android:label=&quot;@string/title_activity_main&quot; android:launchMode=&quot;singleTask&quot; android:name=&quot;ai.squad.kominfo.sbh.MainActivity&quot; android:theme=&quot;@style/AppTheme.NoActionBarLaunch&quot; android:exported=&quot;true&quot;&gt;
            &lt;intent-filter&gt; 
                &lt;action android:name=&quot;android.intent.action.MAIN&quot; /&gt;
                &lt;category android:name=&quot;android.intent.category.LAUNCHER&quot; /&gt;
            &lt;/intent-filter&gt;
        &lt;/activity&gt;
        &lt;provider android:authorities=&quot;${applicationId}.fileprovider&quot; android:exported=&quot;false&quot; android:grantUriPermissions=&quot;true&quot; android:name=&quot;androidx.core.content.FileProvider&quot;&gt;
            &lt;meta-data android:name=&quot;android.support.FILE_PROVIDER_PATHS&quot; android:resource=&quot;@xml/file_paths&quot; /&gt;
        &lt;/provider&gt;
        &lt;service
            android:name=&quot;com.equimaps.capacitor_background_geolocation.BackgroundGeolocationService&quot;
            android:enabled=&quot;true&quot;
            android:exported=&quot;true&quot;
            android:foregroundServiceType=&quot;location&quot; /&gt;
    &lt;/application&gt;
    &lt;uses-permission android:name=&quot;android.permission.READ_EXTERNAL_STORAGE&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.WRITE_EXTERNAL_STORAGE&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.REQUEST_INSTALL_PACKAGES&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.CAMERA&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.FLASHLIGHT&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.INTERNET&quot; /&gt;
     &lt;uses-permission android:name=&quot;android.permission.ACCESS_COARSE_LOCATION&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.ACCESS_FINE_LOCATION&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.ACCESS_BACKGROUND_LOCATION&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.FOREGROUND_SERVICE&quot; /&gt;
    &lt;uses-feature android:name=&quot;android.hardware.location.gps&quot; /&gt;
&lt;/manifest&gt;
</code></pre>
<p>And String.xml</p>
<pre><code>&lt;!--
        The channel name for the background notification. This will be visible
        when the user presses &amp; holds the notification. It defaults to
        &quot;Background Tracking&quot;.
    --&gt;
    &lt;string name=&quot;capacitor_background_geolocation_notification_channel_name&quot;&gt;
        Background Tracking
    &lt;/string&gt;

    &lt;!--
        The icon to use for the background notification. Note the absence of a
        leading &quot;@&quot;. It defaults to &quot;mipmap/ic_launcher&quot;, the app's launch icon.

        If a raster image is used to generate the icon (as opposed to a vector
        image), it must have a transparent background. To make sure your image
        is compatible, select &quot;Notification Icons&quot; as the Icon Type when
        creating the image asset in Android Studio.
    --&gt;
    &lt;string name=&quot;capacitor_background_geolocation_notification_icon&quot;&gt;
        drawable/ic_tracking
    &lt;/string&gt;
</code></pre>
<p>This is how i code it inside my page.ts</p>
<pre><code>import {BackgroundGeolocationPlugin} from &quot;@capacitor-community/background-geolocation&quot;;

const BackgroundGeolocation = registerPlugin&lt;BackgroundGeolocationPlugin&gt;(&quot;BackgroundGeolocation&quot;);

  ngOnInit() {
    this.getLatLong();
    if(this.plt.is('capacitor')){
     this.backGroundLocation();
    }
  }

async backGroundLocation() {

         await BackgroundGeolocation.addWatcher({
            backgroundMessage: 'Cancel to prevent battery drain',
            backgroundTitle: &quot;Tracking You.&quot;,
            requestPermissions: true,
            stale: false,
            distanceFilter: 50,
          },
          function callback(location, error) {
            if (error) {
              if (error.code === &quot;NOT_AUTHORIZED&quot;) {
                  if (window.confirm(
                      &quot;This app needs your location, &quot; +
                      &quot;but does not have permission.\n\n&quot; +
                      &quot;Open settings now?&quot;
                  )) {
                      // It can be useful to direct the user to their device's
                      // settings when location permissions have been denied. The
                      // plugin provides the 'openSettings' method to do exactly
                      // this.
                      BackgroundGeolocation.openSettings();
                  }
              }
              return console.error('error'+error);
          }

          return console.log('test:'+location);
          
        }
        )
  }
</code></pre>
<p>This is my variables.gradle file, in case this is related</p>
<pre><code>ext {
    minSdkVersion = 21
    compileSdkVersion = 30
    targetSdkVersion = 31
    androidxActivityVersion = '1.2.0'
    androidxAppCompatVersion = '1.2.0'
    androidxCoordinatorLayoutVersion = '1.1.0'
    androidxCoreVersion = '1.3.2'
    androidxFragmentVersion = '1.3.0'
    junitVersion = '4.13.1'
    androidxJunitVersion = '1.1.2'
    androidxEspressoCoreVersion = '3.3.0'
    cordovaAndroidVersion = '7.0.0'
}
</code></pre>
<p>and here is my MainActivity.java, i read in some website that i need to code something here. but it gave me another error, so i decided not to. cause i think in this android version, Plugin does not have to be added manually inside this file</p>
<pre><code>package ai.squad.kominfo.sbh;
import com.getcapacitor.BridgeActivity;

public class MainActivity extends BridgeActivity {

}
</code></pre>
<p>so guys, anyone who knows how to use this plugin, help me please...</p>",ionic-framework|plugins|geolocation|capacitor,15580774,spardano,yes
Alternative to iOS's deprecated UIApplicationExitsOnSuspend,"<p>I have an app that I do NOT want to run in the background. There is nothing my app can do in background mode, and allowing it to only adds annoying UI complications.  I want the app to terminate when it is removed from the foreground.</p>

<p><code>UIApplicationExitsOnSuspend</code> was Apple's method of allowing this before, and it worked perfectly for my use case. However, it is now deprecated and they are rejecting apps with that Info.plist value.</p>

<p>The only alternative I've been able to find is <code>exit(0)</code> in an app delegate method, but Apple strongly discourages this, and it appears as a crash.</p>

<p>Is there any other viable alternative?  I simply do not want my app to run in the background, all it does is drain a user's battery unnecessarily.</p>",ios|swift|background-process,4272549,123,yes
How to measure Battery Drainage Ratio?,"<p>I were using some of foreground service continuously in background and also was tracking location in background. Now I have reduced it depending on some of time frame logic, but I want to know how much % percentage of battery drain is reduced. Is there any tools which can help me to compare previous version of my app and new version of my app ? Or I have to take any manually testing approach ?</p>",android|battery|batterylevel,3947321,Rujul Gandhi,no
How is it possible that Google Fit app measures number of steps all the time without draining battery?,"<p>The <a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.fitness"">Google Fit</a> app, when installed, measures the duration you are walking or running, and also the number of steps <em>all the time</em>. However, strangely, using it does not seem to drain the battery. Other apps like <a href=""https://play.google.com/store/apps/details?id=com.protogeo.moves"">Moves</a> which seems to record number of steps pretty accurately declares that it uses a lot of power because of it constantly monitoring the GPS and the accelerometer.</p>

<p>I imagine several possibilities:</p>

<ul>
<li>Wakes up the phone every minute or so, then analyses the sensors for a few seconds and then sleeps again. However it seems that the records are pretty accurate to the minute, so the waking up must be frequent.</li>
<li>Actually turns on the accelerometer all the time, and analyzes it only after the accelerometer measurement data buffer is full. However I think the accelerometer has a small buffer to store the latest measurements.</li>
<li>Use GPS to <em>estimate</em> the number of steps instead of actually counting it. However this should not be the case, since it works even indoors.</li>
</ul>

<p>The app still feels <em>magical</em>. Counting steps the whole time without perceptible battery drain.</p>",android|gps|accelerometer|android-sensors|google-fit,11238,Randy Sugianto 'Yuku',no
Explicitly Managing WiFi Power Consumption in Android,"<p><strong>Background</strong></p>

<p>I'm developing a research application that runs on Android phones. In short, the application runs so long as the phone is on and periodically takes information from many components and sensors on the phone. The application is to disturb the user as little as possible. That being said, it's draining the battery far too quickly and forces the user to recharge every day. This simply won't do. </p>

<p>To try and figure out how to improve the situation, a colleague also working on the application let the application run for a long period of time and noticed that the biggest battery hog is WiFi. My current idea is to manually shut off WiFi when it's not in use in an attempt to save power. AFAIK, Android uses PSM for WiFi to accomplish this to some end, but it doesn't seem to be enough.</p>

<p><strong>Problem</strong></p>

<p>Is there a way to ""ramp up"" Android's PSM? Or, <a href=""https://stackoverflow.com/questions/3514123/android-wifi-power-question"">if there is not as this question suggests</a>, is there any way that I can safely turn WiFi on and off without adversely affecting the user? I.e., is there a way to tell which applications are using WiFi and turn it off when none are? Do standard applications - such as the web browser and email clients - use <a href=""http://developer.android.com/reference/android/net/wifi/WifiManager.WifiLock.html"" rel=""nofollow noreferrer"">WiFi locks</a> to prevent WiFi from being turned off when they are working?</p>

<p>Any advice on where to start in solving this problem are greatly appreciated. Information on how Android's PSM works, how long it takes for it to take effect, or any information relevant to the problem are very welcome.</p>

<p>Thanks for your time!</p>",android|wifi|android-wifi,341654,Dylan Knowles,no
Better way to get accurate location than using CoreLocation all the time?,<p>Right now we're using CoreLocation to get your GPS location. It sends it to the server once every 90 seconds. To help with battery drain we change the accuracy to the lowest possible until 30 seconds before the update is going to be sent and then change it to <code>[locationHelper switchToBestAccuracy];</code>. Is there a more battery efficient way to get these location updates?</p>,ios|iphone|ios7|geolocation|core-location,3423674,Taylor,no
Need a push framework for android,"<p>We need to achieve a push functionality in our chat application chat for android. We do not want to pursue the method of polling a http-endpoint based on a DB because that would mean polling, and its seriously going to drain the battery too fast.</p>

<p>So, we are looking for a realtime Push framework or a PubSub mechanism with channel subscription (each user will be aunique channelname for his lifetime). We have gone through the following:</p>

<ul>
<li><a href=""http://faye.jcoglan.com"" rel=""nofollow"">Faye.js</a> (based on nodejs and redis, but doesnt have an android library for clients)</li>
<li><a href=""http://pusher.com"" rel=""nofollow"">Pusher</a> (but this has a limit of ""active connection"". This will not let many users be online since each user login will create a connection to pusher.com which is billed)</li>
<li><a href=""http://pubnub.com"" rel=""nofollow"">PubNub</a> (same problem as Pusher.com)</li>
</ul>

<p>Any messaging framework with android client library would do in our case.</p>",android|node.js|redis|push|pusher,759783,ashutosh,yes
